,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
114,Contra Costa,2015,365,193,164,8,0,0,0,147,70,48,0,0,138,227,0
115,Del Norte,2015,114,101,13,0,0,0,0,72,51,20,0,0,0,114,0
116,El Dorado,2015,365,238,103,22,2,0,0,166,93,44,0,0,347,8,10
117,Fresno,2015,365,38,225,78,23,1,0,205,136,80,0,0,203,158,4
118,Glenn,2015,365,221,144,0,0,0,0,93,68,46,0,0,206,148,11
119,Humboldt,2015,365,241,124,0,0,0,0,91,59,40,0,0,145,216,4
120,Imperial,2015,365,49,274,39,3,0,0,184,105,66,0,1,113,178,73
121,Inyo,2015,365,191,153,12,6,0,3,1482,90,49,0,0,265,55,45
122,Kern,2015,365,23,220,93,28,1,0,201,146,84,0,0,208,154,3
123,Kings,2015,365,72,223,60,10,0,0,182,119,74,0,0,179,153,33
124,Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,359,4,0
125,Los Angeles,2015,365,3,230,95,36,1,0,203,151,80,0,16,167,180,2
126,Madera,2015,365,78,240,43,4,0,0,156,105,64,0,0,193,158,14
127,Marin,2015,365,226,137,2,0,0,0,103,64,43,1,12,128,224,0
128,Mariposa,2015,365,220,134,6,4,1,0,240,84,47,0,0,289,67,9
129,Mendocino,2015,365,213,148,2,2,0,0,164,61,46,0,0,64,301,0
130,Merced,2015,365,107,213,41,4,0,0,159,105,61,0,0,188,177,0
131,Mono,2015,365,318,28,2,4,1,12,4384,54,15,0,0,0,47,318
132,Monterey,2015,365,285,79,1,0,0,0,120,54,41,0,1,169,183,12
133,Napa,2015,365,158,206,1,0,0,0,108,72,53,1,1,104,257,2
134,Nevada,2015,364,213,120,29,2,0,0,166,93,48,0,0,350,14,0
135,Orange,2015,365,57,287,19,2,0,0,156,87,61,0,18,79,267,1
136,Placer,2015,365,179,177,8,1,0,0,189,77,51,0,5,146,214,0
137,Plumas,2015,132,52,66,10,4,0,0,159,102,56,0,0,0,132,0
138,Riverside,2015,365,19,206,106,32,2,0,238,150,88,0,0,178,131,56
139,Sacramento,2015,365,101,237,24,3,0,0,172,93,58,0,1,146,218,0
140,San Benito,2015,365,303,62,0,0,0,0,93,58,40,0,0,314,50,1
141,San Bernardino,2015,365,14,221,88,37,5,0,223,154,84,0,18,190,151,6
142,San Diego,2015,365,46,278,40,1,0,0,156,102,65,0,1,160,202,2
143,San Francisco,2015,365,246,119,0,0,0,0,100,61,39,0,41,134,190,0
144,San Joaquin,2015,365,83,246,32,4,0,0,164,100,60,0,0,122,239,4
145,San Luis Obispo,2015,365,95,265,5,0,0,0,126,80,58,0,0,129,229,7
146,San Mateo,2015,365,297,67,1,0,0,0,101,56,35,1,22,198,144,0
147,Santa Barbara,2015,365,168,196,1,0,0,0,101,69,51,0,3,160,200,2
148,Santa Clara,2015,365,179,179,7,0,0,0,147,71,51,0,6,120,239,0
149,Santa Cruz,2015,365,282,83,0,0,0,0,95,59,38,0,0,187,178,0
150,Shasta,2015,365,252,100,12,1,0,0,157,84,44,0,0,351,14,0
151,Siskiyou,2015,362,330,28,4,0,0,0,139,49,36,0,0,331,29,2
152,Solano,2015,365,186,175,4,0,0,0,118,74,50,0,6,142,216,1
153,Sonoma,2015,365,293,72,0,0,0,0,90,58,37,0,0,215,148,2
154,Stanislaus,2015,365,92,225,43,5,0,0,187,112,62,0,0,164,194,7
155,Sutter,2015,365,157,200,8,0,0,0,119,86,54,1,0,182,182,0
156,Tehama,2015,365,223,123,18,1,0,0,154,87,47,0,0,304,59,2
157,Trinity,2015,68,67,1,0,0,0,0,56,29,12,0,0,0,68,0
158,Tulare,2015,365,29,238,78,20,0,0,176,143,80,0,0,191,171,3
159,Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0
160,Ventura,2015,365,119,233,13,0,0,0,126,85,56,0,2,162,198,3
161,Yolo,2015,365,185,176,4,0,0,0,103,77,50,0,1,160,204,0
162,Alameda,2016,366,155,196,13,2,0,0,154,74,52,0,2,123,241,0
163,Alpine,2016,24,19,5,0,0,0,0,69,55,29,0,0,0,24,0
164,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
165,Butte,2016,366,115,235,16,0,0,0,127,87,57,0,0,143,223,0
166,Calaveras,2016,366,195,149,22,0,0,0,150,87,49,0,0,240,125,1
167,Colusa,2016,366,222,144,0,0,0,0,92,64,45,0,0,179,174,13
168,Contra Costa,2016,366,210,153,3,0,0,0,143,63,46,0,0,137,229,0
169,Del Norte,2016,177,156,21,0,0,0,0,69,52,26,0,0,0,177,0
170,El Dorado,2016,366,221,102,31,12,0,0,172,105,45,0,0,363,3,0
171,Fresno,2016,366,62,199,80,25,0,0,190,140,76,0,0,193,163,10
