,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,"age-adjusted_rate_per_10,000",number_of_cases
125,Mariposa,2019,365,192,159,9,5,0,0,185,84,50,0,0,247,118,0,37.75,63.0
126,Mendocino,2019,361,290,71,0,0,0,0,80,54,36,0,0,155,199,7,61.11,488.0
127,Merced,2019,365,176,182,7,0,0,0,119,80,51,0,0,202,161,2,59.66,1687.0
128,Mono,2019,365,242,108,6,0,0,9,4227,83,34,0,0,0,322,43,47.89,51.0
129,Monterey,2019,365,303,61,1,0,0,0,144,54,39,2,0,228,127,8,36.95,1630.0
130,Napa,2019,363,295,66,2,0,0,0,119,54,37,2,0,211,150,0,37.75,496.0
131,Nevada,2019,361,251,105,5,0,0,0,122,71,45,0,0,272,89,0,27.74,218.0
132,Orange,2019,365,157,192,15,1,0,0,172,87,53,0,7,188,164,6,27.26,8315.0
133,Placer,2019,365,198,158,9,0,0,0,136,77,49,0,0,218,145,2,29.45,1036.0
134,Plumas,2019,341,220,116,5,0,0,0,138,71,34,0,0,0,341,0,56.34,86.0
135,Riverside,2019,365,53,192,91,29,0,0,185,147,77,0,0,219,102,44,39.48,9237.0
136,Sacramento,2019,365,175,180,10,0,0,0,140,84,52,0,1,188,169,7,59.48,8986.0
137,San Benito,2019,365,318,47,0,0,0,0,90,52,39,0,0,308,51,6,58.02,340.0
138,San Bernardino,2019,365,29,203,71,54,8,0,213,172,81,0,4,214,140,7,50.06,10877.0
139,San Diego,2019,365,38,302,23,2,0,0,169,93,66,0,1,133,228,3,30.2,9860.0
140,San Francisco,2019,365,251,113,1,0,0,0,108,58,39,0,15,119,231,0,33.21,2666.0
141,San Joaquin,2019,365,202,151,11,1,0,0,190,82,47,0,1,201,149,14,58.01,4373.0
142,San Luis Obispo,2019,365,196,166,3,0,0,0,108,74,49,0,0,239,109,17,31.87,762.0
143,San Mateo,2019,365,276,87,2,0,0,0,122,57,39,0,14,135,216,0,26.21,1983.0
144,Santa Barbara,2019,365,242,122,1,0,0,0,105,63,45,0,0,228,128,9,28.11,1225.0
145,Santa Clara,2019,365,205,156,4,0,0,0,136,68,48,0,1,134,229,1,24.29,4646.0
146,Santa Cruz,2019,365,291,74,0,0,0,0,74,54,39,0,0,166,199,0,30.52,796.0
147,Shasta,2019,364,306,58,0,0,0,0,100,54,42,0,0,349,13,2,39.94,630.0
148,Siskiyou,2019,365,302,59,2,2,0,0,164,54,38,0,0,239,126,0,40.79,148.0
149,Solano,2019,365,226,138,1,0,0,0,119,64,45,0,1,129,235,0,71.26,2986.0
150,Sonoma,2019,365,318,47,0,0,0,0,87,52,36,0,1,202,155,7,32.65,1487.0
151,Stanislaus,2019,365,168,174,22,1,0,0,177,92,52,0,0,208,147,10,52.93,2887.0
