county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases,y_pred,residual
Imperial,2014,365,24,287,45,5,2,2,352,112,69,0,0,82,219,64,79.85,1515.0,65.02161522138566,14.828384778614335
Inyo,2014,365,222,128,6,5,1,3,957,84,48,0,0,276,50,39,57.22,92.0,58.42412187193542,-1.2041218719354205
Kern,2014,365,17,188,117,42,0,1,307,154,97,0,0,217,140,8,61.21,5615.0,57.864298010579624,3.3457019894203768
Kings,2014,365,69,219,52,25,0,0,180,126,71,0,0,189,135,41,79.16,1238.0,67.15250951804336,12.007490481956637
Lake,2014,357,333,24,0,0,0,0,93,48,37,0,0,349,7,1,77.65,479.0,80.06228924395913,-2.4122892439591226
Los Angeles,2014,365,8,250,79,26,2,0,205,143,82,0,11,160,192,2,51.98,50852.0,53.517289243959006,-1.537289243959009
Madera,2014,365,63,227,60,15,0,0,179,126,68,0,0,193,166,6,59.9,980.0,60.35044341566222,-0.450443415662221
Marin,2014,365,130,234,1,0,0,0,107,65,53,0,2,22,341,0,26.56,643.0,32.25634647894064,-5.696346478940644
Mariposa,2014,365,160,178,26,1,0,0,153,93,53,0,0,260,102,3,32.8,60.0,45.50322757527779,-12.703227575277793
Mendocino,2014,365,224,141,0,0,0,0,96,62,44,0,0,86,279,0,56.14,462.0,63.45085312949028,-7.310853129490276
Merced,2014,364,120,186,56,2,0,0,157,113,61,0,2,227,133,2,85.26,2329.0,74.36746104968249,10.892538950317515
Mono,2014,365,332,21,1,3,2,6,2739,45,16,0,0,0,52,313,33.12,49.0,42.82746991708228,-9.707469917082285
Monterey,2014,365,285,80,0,0,0,0,100,55,40,0,0,180,170,15,48.0,2095.0,46.85376062646836,1.1462393735316425
Napa,2014,365,111,254,0,0,0,0,90,69,55,0,0,24,341,0,47.79,647.0,44.497121849321154,3.2928781506788454
Nevada,2014,365,211,120,33,1,0,0,168,100,47,0,0,352,13,0,46.29,368.0,40.09176062646831,6.198239373531692
Orange,2014,365,35,309,19,2,0,0,156,87,63,0,13,53,297,2,32.22,9767.0,36.548412581321585,-4.328412581321587
Placer,2014,365,116,221,23,3,2,0,265,97,57,0,0,187,178,0,30.18,1079.0,37.50235091264031,-7.32235091264031
Plumas,2014,127,58,56,10,3,0,0,158,103,52,0,0,0,127,0,41.5,65.0,57.723994100873036,-16.223994100873036
Riverside,2014,365,11,198,122,32,1,1,541,150,93,0,0,193,115,57,41.69,9601.0,47.566989667173196,-5.8769896671731985
Sacramento,2014,365,133,192,40,0,0,0,147,105,55,0,1,207,155,2,68.77,9987.0,64.97272979212767,3.79727020787233
San Benito,2014,365,286,75,4,0,0,0,115,61,42,0,0,320,45,0,54.84,307.0,56.84982229514965,-2.0098222951496467
San Bernardino,2014,365,21,217,83,43,1,0,201,159,82,0,9,199,141,16,59.13,12636.0,56.16098090055247,2.969019099447536
San Diego,2014,365,48,278,37,2,0,0,170,101,65,0,10,160,184,11,36.25,11286.0,37.76283992916975,-1.5128399291697505
San Francisco,2014,365,249,116,0,0,0,0,97,59,39,0,41,102,222,0,41.62,3093.0,41.586668123446465,0.033331876553532425
San Joaquin,2014,365,112,219,33,1,0,0,152,99,58,0,0,173,188,4,63.71,4588.0,64.89905576955434,-1.1890557695543365
San Luis Obispo,2014,365,81,270,14,0,0,0,126,87,60,0,0,115,245,5,36.25,870.0,39.191835495470066,-2.941835495470066
San Mateo,2014,365,278,87,0,0,0,0,99,59,38,1,18,144,202,0,35.71,2647.0,35.64966812344645,0.06033187655354766
Santa Barbara,2014,365,161,198,4,2,0,0,159,66,52,0,1,143,217,4,37.94,1571.0,38.73508660389499,-0.795086603894994
Santa Clara,2014,365,216,141,7,1,0,0,154,71,46,0,12,140,212,1,30.47,5643.0,33.5328575631901,-3.0628575631901
Santa Cruz,2014,365,256,97,12,0,0,0,136,70,39,0,0,189,176,0,37.0,925.0,38.22730687797932,-1.2273068779793235
Shasta,2014,365,272,87,6,0,0,0,126,71,43,0,0,349,14,2,65.02,1095.0,50.94110423791523,14.078895762084763
Siskiyou,2014,363,330,31,0,2,0,0,162,50,37,0,0,343,18,2,48.73,192.0,45.37161965508562,3.35838034491438
Solano,2014,365,171,191,3,0,0,0,124,69,51,0,1,89,275,0,81.01,3321.0,78.84539938100124,2.1646006189987617
Sonoma,2014,365,257,108,0,0,0,0,83,58,42,0,0,147,216,2,39.79,1895.0,42.543320078299764,-2.7533200782997653
Stanislaus,2014,365,112,194,53,6,0,0,164,114,60,0,0,211,152,2,63.99,3421.0,58.95813507225583,5.031864927744174
Sutter,2014,365,132,220,12,1,0,0,156,84,55,0,3,141,220,1,38.09,372.0,38.08213507225584,0.007864927744165584
Tehama,2014,364,227,121,15,1,0,0,151,80,45,0,0,320,43,1,53.76,326.0,54.798104237915226,-1.0381042379152277
Trinity,2014,112,102,10,0,0,0,0,90,44,12,0,0,0,112,0,74.53,78.0,49.43458892152391,25.09541107847609
Tulare,2014,365,44,197,97,27,0,0,172,145,84,0,0,199,165,1,48.97,2373.0,48.66286632981061,0.307133670189387
